sid,scaden_epi,scaden_lymph,scaden_conn,epi_pan_neo,inflam,connective,dead,epi_pan_non_neo,epi_pan_perc,inflam_perc,connective_perc,dead_perc,epi_mon,lymph,macro,neutro,epi_mon_perc,lymph_perc,macro_perc,neutro_perc,epi_manual,lymph_manual,combined_neo_epi,combined_inflam,combined_conn,combined_dead,combined_epi_non_neo,combined_mon_unique_epi,combined_lymph,combined_macro,combined_neutro,combined_epi_perc,combined_inflam_perc,combined_conn_perc,combined_dead_perc,combined_lymph_perc,combined_macro_perc,combined_neutro_perc,scaden_own_epi,scaden_own_lymph
s_261,54.1023833,4.7886135,16.045796,145442,1658,238144,1045,4773,38.4121,0.424,60.8967,0.2672,70156,6216,10294,206,80.76,7.16,11.85,0.24,50,0,156979,6703,224373,1021,1986,4889,87,4425,12,40.9149,1.6738,56.0267,0.2549,0.0217,1.1049,0.003,43.2600718,5.3834357
s_263,42.6803,6.5206239,21.0504449,177334,2490,346905,330,38446,38.157,0.4403,61.3443,0.0584,166430,10746,4175,288,91.63,5.92,2.3,0.16,40,1,219235,11564,324168,548,9990,7635,136,1915,10,41.1786,2.0104,56.3573,0.0953,0.0236,0.3329,0.0017,37.5202416,5.2536711
s_264,45.950682,5.3202078,19.8813652,79745,942,114396,257,8387,43.2599,0.4624,56.1516,0.1261,61643,4156,1663,131,91.2,6.15,2.46,0.19,50,0,92222,4495,104159,348,2503,2823,56,980,19,46.9873,2.1652,50.1717,0.1676,0.027,0.4721,0.0092,38.1471905,5.3408181
s_265,51.4687965,5.5810319,17.5330279,166663,1236,129244,507,9173,57.3086,0.4028,42.1233,0.1652,125819,7245,7369,125,89.51,5.15,5.24,0.09,60,0,187756,7567,108673,512,2315,6337,75,3008,10,62.1047,2.3927,34.3627,0.1619,0.0237,0.9511,0.0032,41.7519547,5.584954
s_266,52.3354105,5.6029559,17.3449068,60848,1684,88488,1163,4144,41.5744,1.0772,56.6044,0.744,42491,4440,4855,165,81.79,8.55,9.35,0.32,60,0,69304,4850,80090,960,1123,1887,54,2238,8,45.0515,3.0215,49.896,0.5981,0.0336,1.3943,0.005,42.0816624,5.7335349
s_267,49.954321,5.500142,17.9866239,271411,1238,140290,444,17694,67.0657,0.2872,32.5441,0.103,209793,6239,4434,265,95.04,2.83,2.01,0.12,60,0,298822,6660,119940,735,4920,7566,56,1771,5,70.6755,1.512,27.2297,0.1669,0.0127,0.4021,0.0011,40.8492276,5.107597
s_268,43.7081321,6.1812685,21.1568483,112721,1648,176614,651,4390,39.5613,0.5567,59.6621,0.2199,81225,7291,4462,180,87.19,7.83,4.79,0.19,50,0,129661,7761,156637,678,1287,4166,127,1924,20,44.7011,2.5676,51.8218,0.2243,0.042,0.6365,0.0066,36.8662657,5.1030816
s_269,52.2074623,5.258044,17.2777078,95070,604,84757,241,2077,53.1587,0.3305,46.3789,0.1319,65251,1881,2590,60,93.51,2.7,3.71,0.09,60,0,102547,2112,77235,260,595,3874,35,1799,19,56.7796,1.1206,40.9787,0.1379,0.0186,0.9545,0.0101,42.827877,5.5636639
s_27,47.4786812,5.9556851,18.8131915,78580,951,82679,365,3032,49.2805,0.5743,49.9248,0.2204,62648,4516,4757,126,86.95,6.27,6.6,0.17,50,0,90769,4726,68865,459,788,3371,51,1916,6,55.5294,2.7645,40.2835,0.2685,0.0298,1.1208,0.0035,38.3066862,5.3594587
s_270,49.1414986,5.7852019,18.2016985,22609,654,62289,925,1253,27.1994,0.7455,71.0008,1.0544,14395,1637,2541,73,77.2,8.78,13.63,0.39,50,0,26372,1880,58160,905,413,728,65,1368,10,30.6037,2.0912,64.6934,1.0067,0.0723,1.5217,0.0111,39.544543,5.7928265
s_271,51.071296,5.4494398,17.5655188,128192,798,92680,548,2780,58.2103,0.3547,41.1915,0.2436,81848,3866,5571,81,89.58,4.23,6.1,0.09,60,0,140438,4092,79106,549,813,4552,30,2318,4,62.8727,1.7645,34.1118,0.2367,0.0129,0.9996,0.0017,40.997283,5.6508554
